time,timestamp,solar_kw,wind_kw,load_kw,battery_soc_pct,battery_soh_pct,battery_resistance_growth,battery_power_kw,grid_kw,tariff_inr_kwh,cost_inr,cell_temperature_c,carbon_intensity_kg_kwh,carbon_emissions_kg,degradation_cost_inr,action,reason,decision_entropy,ig_attributions
2025-12-27 00:00:00+05:30,2025-12-27 00:00:00+05:30,0.013,0.092,37.483,20.0,99.994,1.007,0.0,37.378,2.6,107.275,19.55,0.15,5.607,3.506,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 19.5°C.,-0.478,"[0.0, 0.0, 0.0002, -0.0054, -0.0, -0.0048, 0.0, 0.012, 0.0172]"
2025-12-27 01:00:00+05:30,2025-12-27 01:00:00+05:30,0.065,0.085,39.218,20.0,99.994,1.007,0.0,39.068,2.6,114.018,18.0,0.177,6.912,3.143,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 18.0°C.,-0.478,"[0.0, 0.0, 0.0005, -0.0054, -0.0, -0.0048, 0.0026, 0.0116, 0.0171]"
2025-12-27 02:00:00+05:30,2025-12-27 02:00:00+05:30,0.0,0.771,41.817,20.0,99.994,1.007,0.0,41.046,2.6,125.323,20.06,0.252,10.335,3.634,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 20.1°C.,-0.478,"[0.0, 0.0001, 0.0008, -0.0054, -0.0, -0.0048, 0.0047, 0.0105, 0.0169]"
2025-12-27 03:00:00+05:30,2025-12-27 03:00:00+05:30,0.01,0.491,44.205,20.0,99.994,1.007,0.0,43.704,2.6,141.839,18.0,0.359,15.671,3.143,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 18.0°C.,-0.478,"[0.0, 0.0001, 0.0012, -0.0053, -0.0, -0.0048, 0.0063, 0.0088, 0.0167]"
2025-12-27 04:00:00+05:30,2025-12-27 04:00:00+05:30,0.0,2.3,43.246,20.0,99.994,1.007,0.0,40.946,2.6,141.468,18.07,0.475,19.449,3.159,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 18.1°C.,-0.478,"[0.0, 0.0003, 0.001, -0.0054, -0.0, -0.0048, 0.0075, 0.0065, 0.0166]"
2025-12-27 05:00:00+05:30,2025-12-27 05:00:00+05:30,0.0,0.501,44.442,20.0,99.994,1.007,0.0,43.941,2.6,159.974,20.09,0.578,25.404,3.641,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 20.1°C.,-0.478,"[0.0, 0.0001, 0.0012, -0.0053, -0.0, -0.0048, 0.0082, 0.0035, 0.0164]"
2025-12-27 06:00:00+05:30,2025-12-27 06:00:00+05:30,0.0,0.935,59.457,20.0,99.994,1.007,0.0,58.522,5.6,396.194,21.12,0.65,38.039,3.912,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 21.1°C.,-0.478,"[0.0, 0.0001, 0.0032, -0.0053, -0.0, 0.0087, 0.0084, 0.0, 0.0162]"
2025-12-27 07:00:00+05:30,2025-12-27 07:00:00+05:30,12.694,2.055,64.382,20.0,99.994,1.007,0.0,49.633,5.6,338.845,21.48,0.682,33.833,4.011,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 21.5°C.,-0.478,"[0.0014, 0.0002, 0.0038, -0.0053, -0.0, 0.0088, 0.0082, -0.0038, 0.0161]"
2025-12-27 08:00:00+05:30,2025-12-27 08:00:00+05:30,31.246,1.749,67.399,20.0,99.994,1.007,0.0,34.404,5.6,234.463,25.26,0.675,23.223,5.195,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 25.3°C.,-0.478,"[0.0032, 0.0002, 0.0042, -0.0054, -0.0, 0.0088, 0.0076, -0.0076, 0.016]"
2025-12-27 09:00:00+05:30,2025-12-27 09:00:00+05:30,53.564,1.412,70.182,20.0,99.994,1.007,0.0,15.206,5.6,102.71,23.2,0.641,9.753,4.517,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 23.2°C.,-0.478,"[0.0051, 0.0001, 0.0046, -0.0054, -0.0, 0.0089, 0.0065, -0.0112, 0.0161]"
2025-12-27 10:00:00+05:30,2025-12-27 10:00:00+05:30,68.578,2.229,60.633,20.0,99.994,1.007,0.0,0.0,5.6,0.0,25.78,0.598,0.0,5.382,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 25.8°C.,-0.478,"[0.0061, 0.0002, 0.0034, -0.0055, -0.0, 0.0089, 0.0049, -0.0141, 0.0162]"
2025-12-27 11:00:00+05:30,2025-12-27 11:00:00+05:30,82.267,0.209,63.077,20.0,99.994,1.007,0.0,0.0,5.6,0.0,26.67,0.563,0.0,5.71,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 26.7°C.,-0.478,"[0.0069, 0.0, 0.0037, -0.0056, -0.0, 0.009, 0.0027, -0.0161, 0.0163]"
2025-12-27 12:00:00+05:30,2025-12-27 12:00:00+05:30,86.075,0.311,61.066,20.0,99.994,1.007,0.0,0.0,5.6,0.0,29.35,0.55,0.0,6.823,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 29.4°C.,-0.478,"[0.0072, 0.0, 0.0035, -0.0056, -0.0, 0.009, 0.0, -0.0168, 0.0164]"
2025-12-27 13:00:00+05:30,2025-12-27 13:00:00+05:30,81.336,0.169,62.29,20.0,99.994,1.007,0.0,0.0,5.6,0.0,29.45,0.563,0.0,6.866,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 29.4°C.,-0.478,"[0.007, 0.0, 0.0036, -0.0057, -0.0, 0.009, -0.003, -0.0163, 0.0165]"
2025-12-27 14:00:00+05:30,2025-12-27 14:00:00+05:30,66.018,0.024,59.505,20.0,99.994,1.007,0.0,0.0,5.6,0.0,28.31,0.598,0.0,6.37,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 28.3°C.,-0.478,"[0.0061, 0.0, 0.0032, -0.0057, -0.0, 0.0091, -0.0061, -0.0144, 0.0166]"
2025-12-27 15:00:00+05:30,2025-12-27 15:00:00+05:30,52.547,0.0,62.513,20.0,99.994,1.007,0.0,9.966,5.6,67.315,28.24,0.641,6.392,6.342,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 28.2°C.,-0.478,"[0.0052, 0.0, 0.0035, -0.0057, -0.0, 0.009, -0.009, -0.0115, 0.0167]"
